index,adress,no_chargers_in_circle [50 km],deso,distance_to_charger,electric_cars_in_circle,geometry,no_City_Gross,no_charger_stations,number_of_electric_cars,pop_in_circle_50,population,transaktioner_per_ar_stadium,arsomsättning_stadium,cpv,cpv_in_circle_50,density_no_electric_cars_over_population,rec_no_chargers
0,[['Godsgränd 1B 194 61 Upplands Väsby']],293,0114C1020,223,10984,"POLYGON ((667034.814437965 6600076.6337128, 667032.043987075 6600104.73782455, 667030.7656992294 6600124.353396175, 667027.9952483395 6600142.420097751, 667021.786099366 6600169.224463975, 667011.9076822104 6600208.936345926, 667010.0685359845 6600214.885089375, 666983.1211633375 6600231.03201985, 666973.284257824 6600238.060833525, 666932.19495166 6600267.414547525, 666765.8185465914 6600325.322866825, 666674.7347846274 6600411.52552395, 666660.214282984 6600411.7754444, 666633.876950989 6600413.564683801, 666617.855262031 6600397.158281775, 666525.691294948 6600329.61210665, 666510.81568828 6600319.523757275, 666493.458407362 6600308.695993575, 666476.067736645 6600299.117832125, 666458.6775171414 6600290.459759975, 666445.393340488 6600284.81108025, 666443.2162353505 6600283.241516151, 666411.0907365775 6600244.439376475, 666373.5966995815 6600199.1488562, 666360.890076208 6600189.260284, 666360.8815031515 6600189.260284, 666288.2442514945 6600109.316781076, 666267.588148678 6600079.373286651, 666207.1873559275 6599991.83108775, 666203.987800999 6599987.63178745, 666175.9931618185 6599946.6400581, 666114.3885314499 6599857.338069025, 666158.0835955765 6599820.7056209, 666152.53412074 6599813.237456625, 666151.0825669105 6599811.277889275, 666136.5616140534 6599791.7212161, 666106.5965255185 6599751.3200631, 666076.804251754 6599744.17106475, 666033.80180035 6599733.853488975, 666033.793678507 6599733.843141951, 666011.3652090625 6599715.0672712, 666006.2195703085 6599710.75813325, 666006.1618149804 6599710.7278881, 665828.365196227 6599620.08635725, 665825.8501321779 6599621.056589825, 665786.673971254 6599636.18314445, 665703.795075574 6599668.006613725, 665609.9738013055 6599704.0293833, 665592.822724957 6599710.61805045, 665581.064101147 6599715.1373126, 665568.422903731 6599719.9860877, 665567.3756371975 6599720.38564205, 665554.2317879425 6599725.424643225, 665547.2560272325 6599728.1140738, 665518.5191418445 6599739.1519617, 665455.9250002705 6599762.777403475, 665455.421897218 6599759.98768635, 665446.9287055075 6599712.797293101, 665434.3127760475 6599642.791709725, 665431.1709764469 6599621.736309775, 665427.5427686935 6599600.690460925, 665422.6200294085 6599572.0459161, 665417.0457378295 6599574.8157351, 665392.1432647645 6599428.245350425, 665383.6090126255 6599365.6880332, 665379.5192134614 6599336.9742429, 665372.180225884 6599309.319828775, 665368.5023846455 6599287.123868301, 665366.36679115 6599252.991420601, 665354.8143719095 6599214.709019951, 665346.544079668 6599137.754215401, 665344.0123207195 6599099.302282725, 665343.740238979 6599095.2231671, 665343.7569338785 6599095.19292195, 665335.090476184 6599033.6854298, 665335.0656594415 6599033.63608245, 665328.972021124 6598941.1448219, 665324.1151590099 6598929.307029375, 665217.067463416 6598667.51058245, 665214.6349714375 6598661.6318804, 665193.2537685265 6598609.302199425, 665178.04832479 6598572.079970875, 665167.130762944 6598545.35519715, 665144.801109256 6598490.846273526, 665103.9098858185 6598390.996686351, 665098.121267827 6598376.869813525, 665084.861907916 6598344.496360076, 665066.556176221 6598299.985050376, 665015.316371161 6598175.2707662, 665001.438848755 6598141.497280675, 664913.167049323 6597926.670755776, 664889.229270721 6597868.452821651, 664884.413920249 6597856.7352138, 664882.608163822 6597852.296340075, 664882.393386196 6597851.706559651, 664859.684713168 6597782.070285475, 664827.22080427 6597682.520762025, 664814.258342842 6597642.769083825, 664718.870004088 6597507.546201875, 664699.344191089 6597479.8519915, 664695.880676263 6597474.9427261, 664692.4176126504 6597470.034256625, 664686.381729661 6597461.486022125, 664687.725443464 6597460.5460347, 664697.431045849 6597473.8634518, 664720.173108676 6597506.466927575, 664725.5082571 6597515.254735501, 664814.3734022845 6597642.86857445, 664823.9553721705 6597672.2429825, 664827.3692535115 6597682.660844825, 664849.7977229559 6597750.726758976, 664882.319387182 6597851.156575475, 664882.7069795785 6597852.34648335, 664889.344781377 6597868.502964925, 664889.633558017 6597869.212930026, 664913.2577432365 6597926.72089905, 665015.4404548735 6598175.3503587, 665066.67980872 6598300.03519365, 665084.969296729 6598344.516258201, 665098.236778483 6598376.919160875, 665104.0253964745 6598391.046829625, 665167.2214568575 6598545.405340426, 665193.3774010255 6598609.352342701, 665214.767176993 6598661.671676651, 665228.891964397 6598696.01424855, 665239.026219607 6598720.64971915, 665291.8574546815 6598849.08336085, 665315.2591916455 6598905.972100225, 665324.659322491 6598928.816739575, 665329.095653623 6598941.234761425, 665334.488557375 6598954.44154495, 665359.052620315 6599014.559352051, 665362.8622158954 6599023.827898676, 665364.981565705 6599041.8643551, 665371.0503872799 6599050.7023063, 665374.68716809 6599051.852417925, 665380.2610084555 6599064.91911865, 665377.0781484265 6599069.898425451, 665373.9530437255 6599081.93599515, 665386.115503618 6599078.636886025, 665388.680201152 6599077.276650201, 665444.3396424445 6599047.762955275, 665447.9926669404 6599045.82328605, 665460.888799984 6599038.98469845, 665467.4774195109 6599035.49536325, 665470.2726871435 6599034.015738675, 665487.1850715505 6599025.047255775, 665487.8447456874 6599024.717742825, 665508.89611153 6599014.26008425, 665510.6197470999 6599013.48962885, 665523.9698009245 6599007.520987275, 665536.2725882155 6599002.01239035, 665544.7161464409 6598998.23333845, 665551.9315015195 6598994.633369675, 665553.06088891 6598994.073834401, 665579.1098954785 6598981.056481025, 665606.032451383 6598967.598981125, 665606.5021646365 6598967.359407701, 665632.7903143599 6598954.232216675, 665633.870519479 6598953.711681725, 665636.7479079685 6598952.342690725, 665642.2400786905 6598949.51317735, 665647.4759601445 6598946.903339275, 665666.466182719 6598938.205470875, 665671.2982280905 6598935.9553909, 665656.3071107665 6598943.2842683, 665687.526121618 6598966.069213275, 665747.3168737165 6599012.290169875, 665779.0877186785 6599036.6048827, 665816.919714586 6599065.55904235, 665857.9923258505 6599096.6430973, 665874.1457691505 6599108.350358125, 665909.7762943915 6599136.1050588, 665943.476979493 6599162.91977205, 665964.957449374 6599176.266638375, 665986.8255116515 6599190.134039651, 665998.394174578 6599195.812964525, 666002.4185477844 6599194.5227701, 666008.396675446 6599195.0130599, 666011.579535475 6599196.6526654, 666013.739945713 6599197.76218485, 666017.6235403075 6599202.3514884, 666018.9677053239 6599206.530890576, 666023.9892603655 6599210.069573125, 666048.553774519 6599227.376166325, 666062.7530121505 6599236.64471295, 666072.2194713805 6599242.823478725, 666091.9271234199 6599252.731153125, 666131.960589994 6599273.3671006, 666153.218160406 6599284.354845225, 666169.7844640585 6599294.1025387, 666186.226232785 6599303.590760625, 666202.223556214 6599314.3285848, 666232.3867274754 6599336.08439875, 666255.1946674734 6599352.9404984, 666293.636704033 6599382.904686876, 666321.713915284 6599405.160341725, 666342.3203846155 6599421.187087526, 666362.827586977 6599435.7835561, 666383.0875243405 6599448.550989025, 666395.877170998 6599456.019949225, 666414.2320849645 6599465.50817115, 666431.169286114 6599473.945772075, 666451.6187331475 6599482.67468155, 666455.5524124405 6599484.054019575, 666467.41797385 6599488.23342175, 666484.6683171685 6599493.802508975, 666499.4446568665 6599498.301077075, 666515.911693549 6599502.69060345, 666522.327047092 6599504.0898396, 666528.635011822 6599505.46997355, 666545.5144576435 6599508.299486925, 666568.1820702429 6599511.798373225, 666579.6853072119 6599513.578061525, 666622.4400424045 6599518.707002225, 666655.060522387 6599523.055936425, 666672.9867835285 6599525.3856089, 666692.084394916 6599528.77465755, 666704.807713189 6599531.2945561, 666723.0805062985 6599536.873194425, 666739.4072155824 6599542.692202101, 666747.9252240355 6599546.43145775, 666755.3215157274 6599549.680423601, 666761.6791139425 6599553.929867175, 666771.0878178445 6599558.348842775, 666786.4498326655 6599567.677083775, 666802.693969879 6599579.614366925, 666823.5477042085 6599596.94085825, 666834.5888985535 6599607.89915365, 666847.40291074 6599623.1761381, 666861.7424757699 6599640.941980025, 666872.1984462055 6599657.099257525, 666877.8629804845 6599667.287097525, 666882.1098019464 6599674.93514085, 666891.9634023595 6599696.94087525, 666899.252756452 6599716.437058126, 666905.313456184 6599735.8727507, 666906.0557023915 6599738.26211755, 666911.1598295035 6599754.389149901, 666913.715953981 6599762.4375435, 666918.5317556665 6599777.554547025, 666934.998792349 6599827.00457135, 666939.7234489075 6599837.242554625, 666946.1469242935 6599854.179042701, 666962.613960976 6599887.602321225, 666988.8028437295 6599938.99121885, 667001.806365586 6599966.65598, 667016.327318443 6599997.7798312, 667025.331735049 6600023.03453145, 667026.3708797395 6600025.943637325, 667032.3986408859 6600044.6502626, 667032.9838647955 6600052.338102175, 667034.814437965 6600076.6337128))",0,0,4,2554015,1610,52145,19293519,0,0.027,0.0025,4
1,[['Dragonvägen 86 194 33 Upplands Väsby']],301,0114C1090,279,11011,"POLYGON ((665509.3252155685 6601401.3235273, 665475.525263497 6601406.272588951, 665474.8985279455 6601400.92397295, 665454.1192438435 6601403.313339801, 665414.7535732494 6601411.201752475, 665333.045576602 6601427.578705275, 665323.4473630299 6601425.218787651, 665279.8678095595 6601414.861415626, 665272.0672305715 6601414.68074065, 665258.461789906 6601419.350432625, 665230.549722796 6601427.62884855, 665220.4484061715 6601430.1678493, 665213.2578678355 6601429.748396825, 665163.2056567075 6601417.0510053, 665136.0191409055 6601411.89181945, 665111.207361754 6601407.832601951, 665103.4812329935 6601406.313181126, 665089.7354649295 6601403.613403525, 665088.036646102 6601412.451354725, 665083.534437799 6601435.806977925, 665083.0232129035 6601435.656548101, 665080.780230595 6601435.4368728, 665078.5372482865 6601435.60720075, 665076.3524725195 6601436.156389, 665074.298999881 6601437.086825325, 665072.427366283 6601438.366672725, 665070.827363212 6601439.936236825, 665069.499893095 6601441.765272475, 665068.5270767889 6601443.794881226, 665068.2134834065 6601444.925094726, 665057.79090277 6601444.245374775, 665050.0151405245 6601444.52474445, 665040.4250487955 6601445.4750789, 665029.466426521 6601448.07456995, 665018.656253488 6601451.873519975, 664983.017606404 6601467.720386725, 664968.1668164785 6601471.329906601, 664961.644525336 6601474.729302275, 664953.6377417785 6601475.28883755, 664943.297281999 6601479.337708025, 664937.640869563 6601481.567889875, 664932.8747013625 6601482.3773456, 664927.151960542 6601482.48718325, 664919.8463627634 6601482.047036725, 664912.194233017 6601481.687278626, 664901.9855275794 6601481.217682875, 664896.889973524 6601480.977313525, 664880.876406409 6601480.2474503, 664849.2864980604 6601478.728029476, 664830.1974597295 6601477.877981575, 664814.439730669 6601477.158465375, 664805.2868648214 6601477.308099275, 664800.702084448 6601478.048309525, 664796.455262986 6601479.227870375, 664792.1096257675 6601481.727870801, 664787.92913269 6601485.376391, 664784.086598524 6601490.175818751, 664781.2254537205 6601493.66515395, 664771.536546235 6601508.33245985, 664763.6533951765 6601519.679962575, 664752.1835480065 6601536.706390175, 664743.57484564 6601549.453924975, 664737.588144922 6601556.42224835, 664732.888305106 6601559.971277925, 664728.0147480925 6601562.12107135, 664723.421845876 6601563.030813625, 664717.163514631 6601563.661186225, 664711.003547929 6601563.670737325, 664708.529995522 6601648.183645675, 664638.6464998554 6601646.294119725, 664580.1917909305 6601645.294437925, 664580.958402667 6601627.257981501, 664581.609954961 6601612.1608761, 664583.951753026 6601557.20225485, 664584.685426177 6601547.244437175, 664587.786165349 6601505.432905075, 664588.7837983975 6601455.432896575, 664593.022046803 6601404.422859251, 664595.5619275945 6601344.0551317, 664596.196784989 6601315.0516247, 664605.1023858385 6601111.79307375, 664607.1143468349 6601022.491084675, 664607.889531628 6601002.374876225, 664610.2642682785 6600922.82137655, 664638.910459753 6600924.230959726, 664743.690356296 6600929.370247451, 664815.725689144 6600935.2585006, 664867.130638345 6600939.468147925, 664888.0421280025 6600941.177794825, 665095.0128580255 6600957.5539517, 665151.0431968149 6600961.983274325, 665341.950726238 6600975.700245775, 665369.591162821 6600971.8710506, 665384.4004411045 6600966.602027101, 665416.4356971775 6600967.462422025, 665459.619085195 6600968.63163585, 665463.8081513289 6601030.009392225, 665464.5418244799 6601040.2473755, 665470.5037084555 6601111.09265975, 665485.849028377 6601244.555751525, 665508.5003972905 6601395.834828501, 665509.3252155685 6601401.3235273))",0,2,6,2564976,2426,47443,17553887,0.333,0.027,0.0025,4
2,"[['Flyginfarten 7 177 38 Järfälla'], ['Herrestavägen 7 177 38 Järfälla']]",285,0123C1200,46,10731,"POLYGON ((663756.5060588155 6590582.60631085, 663751.146093649 6590582.315798225, 663733.9535056585 6590580.776479275, 663728.0001947394 6590578.207233375, 663721.1394934719 6590574.2379554, 663714.8067119995 6590566.6193613, 663711.5083413145 6590550.392838325, 663705.0108669145 6590537.945367251, 663700.0881276295 6590531.706111175, 663695.2642041009 6590527.3770751, 663688.12329925 6590525.318017125, 663679.563779155 6590525.737469601, 663666.9645445945 6590528.356858775, 663635.9517383125 6590535.555204475, 663600.519295798 6590543.883763676, 663570.2487357234 6590549.972589925, 663537.3561740005 6590555.171572025, 663498.872625799 6590559.7807737, 663460.5298562095 6590564.259443675, 663430.795337773 6590569.168709075, 663405.7444154664 6590573.6075828, 663379.0276129179 6590579.0166891, 663357.670775536 6590582.845884276, 663342.4328444275 6590585.625254375, 663330.88854703 6590588.574952425, 663318.1900454995 6590593.8240778, 663299.4470879229 6590604.19179685, 663283.0459284115 6590616.758656675, 663265.1444840125 6590628.196894851, 663244.6864639225 6590639.1344962, 663226.3726103845 6590646.483271725, 663210.218715871 6590654.781585775, 663191.4595146085 6590666.2691713, 663181.0202390725 6590675.556820125, 663172.114638223 6590682.815656126, 663165.3613257685 6590686.425176, 663158.5669528855 6590688.444437725, 663150.5272307425 6590689.3446289, 663147.913350937 6590689.294485625, 663141.8440781485 6590689.17430095, 663132.0563549065 6590687.414510775, 663121.1803047025 6590684.055707275, 663106.403513791 6590675.986619625, 663091.1240710405 6590665.868821025, 663077.881406029 6590656.570825175, 663065.7514335085 6590647.21313495, 663055.5928127695 6590636.38537125, 663054.4467304795 6590635.165218226, 663043.685739718 6590621.5477374, 663031.3418919985 6590603.2414624, 663021.182820046 6590588.584503525, 663007.1730920845 6590571.1784197, 662996.6679393775 6590558.420537875, 662990.046381265 6590550.84253595, 662983.2768251245 6590544.9033436, 662974.428979603 6590541.974339601, 662962.2250080685 6590539.254663875, 662946.8711150904 6590535.585449625, 662932.235102791 6590532.455872525, 662917.8625991755 6590529.5865629, 662895.9200866704 6590526.757049525, 662883.6831765504 6590526.417189551, 662872.551288292 6590527.467014626, 662858.55825523 6590530.986594975, 662845.406284132 6590536.16567895, 662843.74040389 6590537.155013725, 662832.6166374745 6590543.843967426, 662821.9300969405 6590551.8724629, 662809.89939139 6590561.60025825, 662790.101045437 6590577.8769245, 662773.6755203964 6590592.884090375, 662758.3793827465 6590606.05107765, 662753.6876647734 6590609.920069075, 662747.354883301 6590615.139745225, 662735.9342184025 6590623.617938325, 662725.346493625 6590628.756430125, 662712.796441336 6590632.68591185, 662703.1652891785 6590634.595335925, 662699.6115316525 6590635.294954, 662687.4901321885 6590636.46496375, 662677.339182079 6590637.9246902, 662666.4464369755 6590640.88393935, 662652.725485654 6590649.4719701, 662643.6466188205 6590660.68973705, 662640.8021689164 6590665.039467175, 662634.056978305 6590675.376941076, 662626.083133333 6590687.914351676, 662618.0352893469 6590700.381720875, 662609.022750898 6590711.789713901, 662595.0951437935 6590726.49681605, 662582.7264793315 6590737.664439725, 662571.8585509704 6590744.183065475, 662557.0325777875 6590751.441901475, 662543.632890478 6590755.230504476, 662530.6374904645 6590757.77030115, 662516.149476193 6590758.789881075, 662501.6122796499 6590758.219998775, 662487.816878101 6590756.8008645, 662473.238169916 6590754.000800351, 662456.128153996 6590748.73177685, 662445.268347478 6590743.533590675, 662433.8476825795 6590736.2946528, 662421.0088536505 6590725.21696865, 662409.7041506215 6590713.4993608, 662400.2214477055 6590702.99155895, 662389.95498694 6590692.413715701, 662380.0684479414 6590682.885697525, 662378.3863240135 6590681.40607295, 662368.7384769565 6590672.887287675, 662355.3392408605 6590664.88903735, 662341.337634742 6590657.750386025, 662341.214002243 6590657.69069165, 662328.8286428815 6590653.261369025, 662315.0169976465 6590647.9628963, 662310.415973587 6590645.973083801, 662318.9091652975 6590569.708346225, 662304.4459677684 6590569.418629525, 662289.6858717565 6590567.6890845, 662260.2234350605 6590566.9791194, 662234.389206118 6590567.3388775, 662203.26088918 6590568.8384002, 662174.3511890215 6590570.138145725, 662136.4781326855 6590570.36816805, 662125.6345698535 6590570.71837505, 662094.588824986 6590570.78841645, 662054.9100122229 6590571.338400626, 662031.1125610195 6590571.588321075, 661953.247098538 6590570.708028025, 661899.8716999824 6590565.9889887, 661842.1506642085 6590551.462561525, 661789.9957981705 6590535.265487775, 661791.1500023035 6590528.076693175, 661803.1315255825 6590469.838860925, 661822.1131751005 6590377.837890175, 661843.387440412 6590271.96951815, 661862.336602558 6590178.418085501, 661873.3033466755 6590124.409002775, 661874.7878390905 6590117.100819426, 661888.5336071545 6590045.945124425, 661902.2712533755 6589985.34737455, 661915.4647361155 6589920.440486725, 661921.6323734469 6589890.937138826, 661932.500301808 6589838.9369708, 661954.1210990875 6589733.958442925, 661964.9642107059 6589680.079891901, 661981.2579814045 6589608.25402805, 661995.201832195 6589556.18461455, 662015.13193249 6589491.548341225, 662039.7460801285 6589425.361606, 662058.9009956305 6589377.770862475, 662058.9506291155 6589377.67137185, 662078.542770499 6589370.792988, 662130.6809416375 6589393.13778645, 662160.4817884585 6589434.109617676, 662294.5589775565 6589501.1559519, 662342.9786982415 6589527.2209038, 662387.670944203 6589597.986595551, 662380.225019026 6589732.068916976, 662745.2192898055 6589862.422329775, 662763.8381636695 6589948.08534975, 662871.8505537265 6589989.057180976, 662909.096874511 6589989.057180976, 662935.1702466084 6589977.879210276, 662964.9625203729 6589966.7115866, 662994.7547941374 6589944.365992225, 663143.732406646 6590257.221823826, 663162.3598535665 6590283.286775725, 663180.979178644 6590294.464746425, 663207.0525507415 6590298.18410395, 663236.844824506 6590305.6323701, 663586.946793718 6590279.5674182, 663756.5060588155 6590582.60631085))",0,2,3,2466740,1336,290582,107515137,0.667,0.027,0.0022,4
3,[['Truckvägen 142 53 Skogås']],263,0126C1010,1638,10249,"POLYGON ((678584.455105732 6568837.351897825, 678510.514749487 6568913.93659725, 678344.460059644 6569111.756592675, 678142.824478045 6569247.878869875, 678168.4854410035 6569196.08882605, 678326.2612655485 6568897.090048701, 678356.4492535525 6568816.6761541, 678388.031040058 6568732.523799775, 678397.9013353705 6568706.228825551, 678442.9730518855 6568611.928427476, 678500.4630663475 6568491.64267, 678426.30838369 6568398.241667176, 678268.548802831 6568200.121608025, 678088.409934799 6567972.55789535, 678074.6889834775 6567962.060440525, 678068.372445691 6568047.772807851, 677874.7274039635 6567833.00677325, 677726.6400356905 6567670.4900312, 677588.109820561 6567517.6405942, 677239.855119418 6567132.798917825, 677109.3727482745 6566902.606264875, 677113.0420164565 6566879.710686325, 677113.5861799375 6566876.741090151, 677122.005372634 6566839.528412701, 677122.854556441 6566836.63920495, 677133.6155472025 6566800.046553075, 677146.68494623 6566764.204458475, 677148.0042945039 6566760.934798575, 677163.3252488965 6566725.992099226, 677183.0577176785 6566683.560541551, 677165.3539047925 6566654.046846625, 677147.8477234195 6566620.143625326, 677146.49543656 6566617.52423615, 677131.174933381 6566582.580740876, 677130.0780333625 6566579.84196295, 677122.541414272 6566559.175770326, 677115.466386592 6566551.617666525, 677089.9868114605 6566523.192797001, 677066.3621750275 6566493.209506325, 677044.700768533 6566461.795938425, 677038.4916195595 6566451.827773726, 677018.857966534 6566419.094562175, 677001.3522363745 6566385.191340875, 676971.4277570545 6566324.63338725, 676967.8081223575 6566318.594704275, 676966.0682431015 6566315.665700275, 676948.5620617284 6566281.762478976, 676947.317163682 6566279.123191675, 676931.9962092895 6566244.179696401, 676918.926810262 6566208.3376018, 676917.9535427425 6566205.587680926, 676909.394473861 6566176.483887375, 676901.5032009595 6566163.3264512, 676899.7881384459 6566160.3274058, 676882.281957073 6566126.4241845, 676877.994526396 6566117.9555425, 676876.518155824 6566114.64608635, 676867.6870052019 6566094.500428676, 676861.1976526449 6566079.703387001, 676854.798542788 6566062.157220375, 676854.17225845 6566061.2474781, 676852.5970721215 6566058.7578247, 676832.9638703095 6566026.02461315, 676815.4576889365 6565992.121391851, 676814.1302188195 6565989.48210455, 676798.8092644269 6565954.538609276, 676797.7457542075 6565951.789484325, 676784.6759039665 6565915.946593801, 676773.9153644185 6565879.353941925, 676773.1320577825 6565876.504530425, 676764.712865086 6565839.2926489, 676764.21833509 6565836.393094125, 676758.182000887 6565798.73071905, 676754.5456712905 6565760.758729151, 676754.331344878 6565757.8090311, 676753.119385417 6565719.686611375, 676753.193384431 6565716.74726035, 676754.4057951055 6565678.624840626, 676758.042124702 6565640.652850725, 676758.4130221989 6565637.7230508, 676764.4489051885 6565600.06147165, 676772.868097885 6565562.8487942, 676773.519650179 6565559.96913755, 676784.280189727 6565523.376485676, 676785.2119456045 6565520.57721745, 676785.467783659 6565519.877599375, 676791.6521158899 6565498.85164865, 676792.6416270955 6565496.012584175, 676805.711026123 6565460.169693651, 676818.3932839675 6565431.24577915, 676810.617521722 6565422.56701295, 676803.723881869 6565414.29894405, 676780.0996966495 6565384.31485745, 676758.4378389415 6565352.901289551, 676738.8046371295 6565320.168078001, 676733.6589983755 6565310.719652325, 676716.1532682159 6565276.81722695, 676700.8323138235 6565241.873731676, 676687.7624635824 6565206.031637075, 676684.5633598674 6565195.753061625, 676673.802369106 6565159.161205675, 676665.383627623 6565121.948528226, 676659.34729342 6565084.28615315, 676658.2097841864 6565073.588125225, 676654.5730033765 6565035.616135325, 676653.3610439155 6564997.4937156, 676654.5730033765 6564959.371295875, 676655.4059434974 6564950.213382825, 676655.859413065 6564935.776099251, 676655.9916186205 6564932.836748226, 676659.627948217 6564894.864758325, 676660.122478213 6564891.46536265, 676666.1583612025 6564853.802987576, 676670.240489737 6564832.77703685, 676678.65923122 6564795.565155325, 676679.3933555845 6564792.53506885, 676690.1538951325 6564755.9432129, 676691.0030789395 6564753.403416225, 676704.0729291805 6564717.5605257, 676719.393883573 6564682.61782635, 676720.474088692 6564680.178316225, 676737.9798188515 6564646.275094925, 676739.26622854 6564643.935871351, 676758.899430352 6564611.202659801, 676760.6478826645 6564608.612719851, 676782.3097403725 6564577.19915195, 676784.1813739705 6564574.6697023, 676811.2442572735 6564600.3144058, 676814.0643416485 6564596.365025951, 676797.4984892095 6564578.209180775, 676884.3931850395 6564517.171284375, 676971.444451954 6564471.970703625, 677019.0479274174 6564659.932372, 677063.566907395 6564690.52613715, 677101.918250041 6564544.336204626, 677123.2421488375 6564499.5948726, 677101.976005369 6564544.345755725, 677063.6165408799 6564690.51658605, 677074.0968768445 6564697.714931751, 677086.3915422924 6564706.1628797, 677102.3387810229 6564717.000990425, 677142.941679034 6564744.59491425, 677161.618308226 6564757.352796075, 677313.7129035925 6564861.281498875, 677313.737720335 6564861.301397, 677474.5813454665 6564800.694096025, 677628.234432262 6564664.1316723, 677628.258797791 6564664.111774175, 677691.7188180715 6564731.6579493, 677693.2114323295 6564733.097777626, 677861.385471982 6564926.57838995, 677861.3935938249 6564926.587941051, 677975.112029803 6564964.230418, 678075.323840872 6564995.544495275, 678075.3815961999 6564995.5643934, 678091.5517343995 6565018.219602601, 678113.13914188 6565062.760361525, 678116.9487374605 6565083.646229451, 678117.0394313739 6565083.906496925, 678118.6642511875 6565088.9550492, 678103.1452140685 6565159.201001925, 678099.7647225265 6565172.7977887, 678207.1088653899 6565367.058407526, 678238.237182328 6565423.357366475, 678229.0346829955 6565432.10537815, 678227.072355484 6565434.045047375, 678170.7036065694 6565491.3333411, 678101.4630901405 6565561.448762125, 678131.1565481485 6565580.705371575, 678187.648929562 6565616.9080202, 678327.902329048 6565706.569767375, 678474.3486338215 6565800.1904455, 678475.1319404575 6565800.700633425, 678773.1119822169 6565991.651000176, 678854.4409595245 6566043.441044, 678854.7541016935 6566043.640821176, 678888.7683801774 6566065.12681655, 678908.8717464565 6566077.74381965, 678908.904685042 6566077.763717775, 678936.2396500855 6566075.5040867, 678982.1027950795 6566071.924811975, 678991.1568451705 6566071.464767326, 679058.3109503755 6566065.856679775, 679095.0956797495 6566062.84728735, 679095.7553538865 6566062.78679705, 679099.8947865355 6566062.446937075, 679115.7432095095 6566061.167089676, 679150.6725489715 6566058.417964725, 679170.0503639425 6566056.888196875, 679177.158330208 6566056.717868925, 679222.3866178074 6566052.969062176, 679268.555234341 6566049.1494181, 679273.4531568835 6566048.739516725, 679290.266725534 6566047.349831675, 679311.5572345315 6566045.5804904, 679351.186865023 6566042.3012794, 679351.360131007 6566042.290932375, 679365.9880214635 6566041.081126375, 679366.0954102764 6566041.071575276, 679372.2219871795 6566100.878971625, 679374.2091314335 6566126.81418775, 679378.480769638 6566154.837911075, 679381.6550566105 6566164.3165819, 679392.0203331325 6566184.922284225, 679418.3657869705 6566224.19401965, 679418.5390529545 6566224.454287125, 679429.3162874019 6566227.123819576, 679429.7038797985 6566227.2137591, 679449.5103475945 6566250.138786876, 679449.7824293349 6566250.6489748, 679450.376226301 6566251.778392375, 679458.193048975 6566266.585781075, 679468.5745691829 6566286.261047076, 679468.624202668 6566286.351782525, 679485.7012800025 6566293.099634675, 679489.6512029815 6566294.659647675, 679524.061195705 6566308.24688335, 679556.6157985164 6566321.1042558, 679587.2405611885 6566333.2118669, 679587.3064383594 6566333.231765025, 679598.7681636865 6566312.59581755, 679598.8836743425 6566312.615715675, 679652.7784196365 6566320.843988325, 679652.8199312785 6566320.85433535, 679658.9546300245 6566324.56334585, 679708.1576573455 6566354.2879609, 679735.5751944595 6566373.753898625, 679765.903509862 6566395.278894325, 679789.7009610655 6566412.195484275, 679867.978832686 6566467.854519526, 680000.4645917695 6566365.425339425, 680000.497530355 6566365.4054413, 680021.202815443 6566385.401465075, 680109.23547172 6566470.443663551, 680183.2006447075 6566690.379231025, 680400.7099172365 6566894.0078871, 680559.8628453835 6567035.8289873, 680559.8213337415 6567035.79874215, 680467.2043483045 6567226.550127651, 680453.013232516 6567307.143901301, 680472.8526388975 6567311.652816425, 680465.7527944749 6567353.76441225, 680446.1525312485 6567347.845118025, 680428.894066087 6567450.204256725, 680348.7278659689 6567489.11623405, 680121.5549539105 6567599.22449855, 679996.886017501 6567660.072168875, 679936.2623252815 6567696.53428905, 679867.269525064 6567738.645884875, 679847.5041176965 6567769.39963095, 679835.8528826995 6567807.321477575, 679817.9839256725 6567828.1373041, 679795.802721226 6567840.194771925, 679768.195674442 6567829.73711335, 679718.143463314 6567866.69987035, 679661.989040812 6567908.881507576, 679653.562177486 6567915.499623951, 679633.46693305 6567931.296347425, 679312.0273989985 6568214.639280025, 679116.7079039725 6568386.033769526, 678949.1605998715 6568533.434303976, 678843.3997651795 6568626.465201675, 678809.6905070215 6568656.22881705, 678664.192653025 6568759.1880832, 678633.8891543649 6568788.271978625, 678605.5479832165 6568815.4663481, 678584.455105732 6568837.351897825))",1,1,4,2302559,2374,95734,35421736,0.25,0.026,0.0017,4
